R,E_adaptive,E_pyscf,dE,status
0.6,4.04135799407959,-0.7099633347248766,4.751321328804466,ok
0.8,3.6445202827453613,-0.9672420744062729,4.611762357151634,ok
1.0,3.3649067878723145,-1.0774459009894417,4.442352688861757,ok
1.2,4.13307523727417,-1.1225145419272522,5.255589779201422,ok
1.4,3.1114306449890137,-1.1357932755423485,4.247223920531362,ok
1.6,3.7758774757385254,-1.1327973186804177,4.908674794418943,ok
1.8,2.9214370250701904,-1.121409968414367,4.042846993484558,ok
2.0,2.7742106914520264,-1.105878987709785,3.880089679161811,ok
2.2,2.7606630325317383,-1.0885781296955632,3.8492411622273015,ok
2.4,3.7167470455169678,-1.0708623912589081,4.787609436775876,ok
2.6,2.681173801422119,-1.0535101063430174,3.7346839077651364,ok
2.8,2.6929099559783936,-1.036960482774342,3.7298704387527355,ok
3.0,3.580338716506958,-1.0214459265638238,4.601784643070782,ok
3.2,2.6253581047058105,-1.0070700896237113,3.632428194329522,ok
