z,rho_adaptive,rho_uniform,delta_rho,eloc_adaptive,eloc_uniform,delta_eloc
-2.299999952316284,0.0017560337437316775,0.0018709709402173758,-0.00011493719648569822,-0.0012402025749906898,-0.0013272982323542237,8.709565736353397e-05
-2.2924997806549072,0.0017947172746062279,0.0019055675948038697,-0.00011085032019764185,-0.0012735327472910285,-0.0013564858818426728,8.295313455164433e-05
-2.2850000858306885,0.0018333983607590199,0.001940162037499249,-0.00010676367674022913,-0.0013068609405308962,-0.0013856715522706509,7.881061173975468e-05
-2.2774999141693115,0.0018720817752182484,0.001974758692085743,-0.00010267691686749458,-0.001340191112831235,-0.0014148592017591,7.466808892786503e-05
-2.2699999809265137,0.0019107641419395804,0.002009354066103697,-9.858992416411638e-05,-0.0013735202373936772,-0.0014440459199249744,7.052568253129721e-05
-2.262500047683716,0.0019494463922455907,0.0020439496729522943,-9.450328070670366e-05,-0.0014068493619561195,-0.001473232638090849,6.638327613472939e-05
-2.254999876022339,0.001988129923120141,0.0020785462111234665,-9.041628800332546e-05,-0.0014401796506717801,-0.0015024201711639762,6.224052049219608e-05
-2.247499704360962,0.0020268133375793695,0.0021131427492946386,-8.632941171526909e-05,-0.0014735098229721189,-0.0015316078206524253,5.8097997680306435e-05
-2.240000009536743,0.0020654944237321615,0.002147737191990018,-8.224276825785637e-05,-0.0015068378997966647,-0.0015607936074957252,5.395570769906044e-05
-2.232499837875366,0.00210417783819139,0.00218233373016119,-7.81558919698e-05,-0.0015401680720970035,-0.0015899812569841743,4.981318488717079e-05
-2.2249999046325684,0.0021428600884974003,0.0022169293370097876,-7.406924851238728e-05,-0.0015734973130747676,-0.001619167858734727,4.5670545659959316e-05
-2.2174999713897705,0.002181542571634054,0.002251524943858385,-6.99823722243309e-05,-0.00160682643763721,-0.0016483545769006014,4.1528139263391495e-05
-2.2100000381469727,0.0022202248219400644,0.002286120317876339,-6.589549593627453e-05,-0.0016401555621996522,-0.0016775412950664759,3.738573286682367e-05
-2.2024998664855957,0.002258908236399293,0.002320716856047511,-6.180861964821815e-05,-0.001673485734499991,-0.001706728944554925,3.3243210054934025e-05
-2.194999933242798,0.002297590486705303,0.0023553124628961086,-5.7721976190805435e-05,-0.0017068148590624332,-0.0017359155463054776,2.9100687243044376e-05
-2.1875,0.0023362727370113134,0.0023899078369140625,-5.363509990274906e-05,-0.0017401441000401974,-0.001765102264471352,2.4958164431154728e-05
-2.179999828338623,0.0023749563843011856,0.0024245046079158783,-4.954822361469269e-05,-0.0017734742723405361,-0.0017942899139598012,2.081564161926508e-05
-2.172499895095825,0.002413638634607196,0.002459099981933832,-4.5461347326636314e-05,-0.0018068033969029784,-0.0018234766321256757,1.6673235222697258e-05
-2.1649999618530273,0.002452320884913206,0.0024936955887824297,-4.1374703869223595e-05,-0.0018401325214654207,-0.0018526632338762283,1.253071241080761e-05
-2.1575000286102295,0.0024910031352192163,0.0025341343134641647,-4.313117824494839e-05,-0.0018734617624431849,-0.001888031023554504,1.4569261111319065e-05
-2.1500000953674316,0.0025296853855252266,0.0025862588081508875,-5.6573422625660896e-05,-0.0019067908870056272,-0.001935760141350329,2.8969254344701767e-05
-2.1424999237060547,0.002568368799984455,0.0026383851654827595,-7.001636549830437e-05,-0.001940121059305966,-0.0019834907725453377,4.3369713239371777e-05
-2.135000228881836,0.002607049886137247,0.0026905080303549767,-8.345814421772957e-05,-0.0019734492525458336,-0.0020312184933573008,5.776924081146717e-05
